total_loss,RMSD,num_contacts,E_contacts,phi_rms,Rg,step
101.27120971679688,2.4598418804089306e-06,111.0,101.27120971679688,1.033818006515503,12.916236877441406,0
101.21473693847656,0.0016588675789535046,111.0,101.21473693847656,1.0335944890975952,12.915570259094238,1
101.15831756591797,0.003318571485579014,111.0,101.15831756591797,1.033371925354004,12.914902687072754,2
101.1019515991211,0.004976195748895407,111.0,101.1019515991211,1.0331504344940186,12.914237976074219,3
101.045654296875,0.006636291276663542,111.0,101.045654296875,1.0329300165176392,12.91357135772705,4
100.98934936523438,0.00829439889639616,111.0,100.98934936523438,1.0327107906341553,12.912904739379883,5
102.3388671875,0.009952018037438393,112.0,102.3388671875,1.0324926376342773,12.912239074707031,6
102.28148651123047,0.011596259661018848,112.0,102.28148651123047,1.0322741270065308,12.911569595336914,7
102.2240982055664,0.013244017027318478,112.0,102.2240982055664,1.032056450843811,12.910900115966797,8
102.16670989990234,0.014890285208821297,112.0,102.16670989990234,1.0318398475646973,12.910229682922363,9
102.10932922363281,0.016539283096790314,112.0,102.10932922363281,1.0316243171691895,12.909560203552246,10
102.0519790649414,0.018188288435339928,112.0,102.0519790649414,1.0314098596572876,12.908890724182129,11
101.99462890625,0.019838381558656693,112.0,101.99462890625,1.0311965942382812,12.908220291137695,12
101.93733215332031,0.021487616002559662,112.0,101.93733215332031,1.0309845209121704,12.907550811767578,13
101.88008880615234,0.023137984797358513,112.0,101.88008880615234,1.030773639678955,12.906881332397461,14
101.82283782958984,0.024786891415715218,112.0,101.82283782958984,1.0305639505386353,12.90621280670166,15
101.76567840576172,0.0264370646327734,112.0,101.76567840576172,1.03035569190979,12.905543327331543,16
101.70852661132812,0.028086451813578606,112.0,101.70852661132812,1.0301487445831299,12.904874801635742,17
101.6513900756836,0.029734184965491295,112.0,101.6513900756836,1.0299429893493652,12.904205322265625,18
101.5943832397461,0.031383026391267776,112.0,101.5943832397461,1.0297386646270752,12.90353775024414,19
101.53744506835938,0.03302978724241257,112.0,101.53744506835938,1.0295356512069702,12.90286922454834,20
101.48052978515625,0.03467612713575363,112.0,101.48052978515625,1.0293341875076294,12.902202606201172,21
101.42359924316406,0.036321740597486496,112.0,101.42359924316406,1.0291341543197632,12.901535034179688,22
101.36676025390625,0.037965770810842514,112.0,101.36676025390625,1.028935432434082,12.900867462158203,23
101.31000518798828,0.039608992636203766,112.0,101.31000518798828,1.0287383794784546,12.900199890136719,24
101.2532730102539,0.041251055896282196,112.0,101.2532730102539,1.0285426378250122,12.899534225463867,25
101.19659423828125,0.04289333149790764,112.0,101.19659423828125,1.028348445892334,12.8988676071167,26
101.13997650146484,0.044533535838127136,112.0,101.13997650146484,1.0281559228897095,12.898200988769531,27
101.08341979980469,0.046173155307769775,112.0,101.08341979980469,1.0279648303985596,12.897536277770996,28
101.02696990966797,0.04781026765704155,112.0,101.02696990966797,1.0277752876281738,12.896870613098145,29
100.97051239013672,0.04944731667637825,112.0,100.97051239013672,1.0275872945785522,12.896204948425293,30
100.91414642333984,0.051081277430057526,112.0,100.91414642333984,1.0274009704589844,12.895540237426758,31
100.8578109741211,0.05271538719534874,112.0,100.8578109741211,1.0272163152694702,12.894875526428223,32
100.80156707763672,0.05434731766581535,112.0,100.80156707763672,1.0270332098007202,12.894210815429688,33
100.74532318115234,0.05598009377717972,112.0,100.74532318115234,1.0268516540527344,12.893548011779785,34
100.68920135498047,0.057610057294368744,112.0,100.68920135498047,1.0266717672348022,12.892885208129883,35
100.63311767578125,0.05923864617943764,112.0,100.63311767578125,1.0264935493469238,12.892221450805664,36
100.57707977294922,0.06086564064025879,112.0,100.57707977294922,1.0263168811798096,12.891558647155762,37
100.5211410522461,0.062492627650499344,112.0,100.5211410522461,1.0261417627334595,12.89089584350586,38
100.46520233154297,0.06411787122488022,112.0,100.46520233154297,1.0259681940078735,12.890233039855957,39
100.4093246459961,0.06574094295501709,112.0,100.4093246459961,1.0257962942123413,12.889572143554688,40
100.35357666015625,0.06736437976360321,112.0,100.35357666015625,1.0256259441375732,12.888910293579102,41
100.29784393310547,0.06898579746484756,112.0,100.29784393310547,1.0254571437835693,12.888249397277832,42
100.24214935302734,0.07060585170984268,112.0,100.24214935302734,1.0252898931503296,12.887589454650879,43
100.18653106689453,0.07222528755664825,112.0,100.18653106689453,1.025124192237854,12.886929512023926,44
100.13097381591797,0.07384408265352249,112.0,100.13097381591797,1.024959921836853,12.886269569396973,45
100.07547760009766,0.07546085119247437,112.0,100.07547760009766,1.0247972011566162,12.885610580444336,46
100.02001953125,0.07707774639129639,112.0,100.02001953125,1.0246360301971436,12.8849515914917,47
99.96467590332031,0.07869186252355576,112.0,99.96467590332031,1.0244762897491455,12.884292602539062,48
99.90931701660156,0.0803053230047226,112.0,99.90931701660156,1.024317979812622,12.883635520935059,49
99.85405731201172,0.08191747218370438,112.0,99.85405731201172,1.0241611003875732,12.882978439331055,50
99.7988510131836,0.08353002369403839,112.0,99.7988510131836,1.024005651473999,12.88232135772705,51
99.74369049072266,0.08514074981212616,112.0,99.74369049072266,1.0238516330718994,12.88166618347168,52
99.6885986328125,0.0867508202791214,112.0,99.6885986328125,1.0236989259719849,12.881009101867676,53
99.6335678100586,0.08835814148187637,112.0,99.6335678100586,1.023547649383545,12.880353927612305,54
99.57857513427734,0.08996742218732834,112.0,99.57857513427734,1.02339768409729,12.879698753356934,55
99.52369689941406,0.09157407283782959,112.0,99.52369689941406,1.0232491493225098,12.879044532775879,56
